#{"t_start": 1696513867.942756, "env_id": null}
r,l,t
167,352,15.500179
0,408,25.522479
0,408,35.525353
0,413,45.574847
0,404,55.578971
114,304,65.583598
0,401,75.586607
0,478,85.599967
0,540,95.60428
5,389,108.709608
336,543,118.729945
0,542,128.73367
0,532,138.751599
5,431,152.567351
364,528,162.589614
0,538,172.597571
0,541,182.599669
5,441,196.520331
290,533,206.526011
0,538,216.541846
0,538,226.559886
0,439,240.270666
0,526,250.284085
0,541,260.302966
0,539,270.326305
5,442,284.334043
211,522,294.354674
0,546,304.360938
0,540,314.376552
5,440,328.155993
216,537,338.166323
0,535,348.173383
0,540,358.186349
5,436,371.894608
171,530,381.897348
0,531,391.918657
0,532,401.945579
0,455,415.839028
0,539,425.852614
0,534,435.859788
0,539,445.872812
0,436,459.411304
0,543,469.416281
0,490,479.424494
0,477,489.484911
0,487,499.507401
100,331,509.510979
0,528,519.530297
0,540,529.536106
0,532,539.553449
0,232,549.565442
0,533,559.573214
0,546,569.589983
0,533,579.60107
5,372,592.085326
285,545,602.10392
0,551,612.114052
0,540,622.131527
5,412,635.365256
193,547,645.379571
0,552,655.396155
0,545,665.410008
0,404,678.528594
0,537,688.547754
0,539,698.567356
0,534,708.573987
5,438,722.328828
150,540,732.330876
0,535,742.340623
0,538,752.349987
0,435,766.023459
0,534,776.036606
0,539,786.046537
0,539,796.059001
5,436,809.805543
149,546,819.818311
0,552,829.838558
0,545,839.854227
0,405,852.848766
0,547,862.855857
0,551,872.873896
0,548,882.893167
0,402,895.726292
0,553,905.735399
0,557,915.753543
0,545,925.762306
104,393,938.510576
1203,543,948.526645
991,549,958.542296
985,545,968.554881
790,411,981.659989
212,539,991.669727
237,538,1001.687644
48,535,1011.692746
17,436,1025.278691
0,537,1035.295034
15,549,1045.308566
665,537,1055.318555
0,425,1068.589154
614,543,1078.597198
1157,534,1088.601288
835,532,1098.609318
116,439,1112.33386
1147,541,1122.347636
829,547,1132.358636
1542,544,1142.363037
381,416,1155.498311
-534370,536,1165.507512
-552899,555,1175.530282
-537980,540,1185.550167
-415666,417,1198.918985
-539385,540,1208.939428
-535446,536,1218.956336
-542129,543,1228.982185
-428214,429,1242.671105
-547073,548,1252.682507
-547092,548,1262.699108
-537290,538,1272.711995
-413585,414,1286.048419
-532318,534,1296.062769
-541111,542,1306.080039
-543106,544,1316.098765
-427398,428,1329.447654
-536806,538,1339.459237
-530203,531,1349.468999
-539448,540,1359.478511
-438159,439,1373.38944
-533970,536,1383.407405
-544150,545,1393.427028
-539971,541,1403.443529
-425526,426,1416.780083
-537096,539,1426.786496
-537919,540,1436.800394
-527967,529,1446.806878
-439466,440,1460.654796
-531516,533,1470.656898
-542268,543,1480.666532
-538872,540,1490.671779
-430923,432,1504.297942
-535197,537,1514.311611
-529473,530,1524.332123
-538043,539,1534.345336
-440878,442,1548.339888
-531231,532,1558.34638
-534791,536,1568.354463
-545327,546,1578.363236
-433519,434,1592.06216
-536246,538,1602.082147
-536729,538,1612.100992
-539057,540,1622.109443
-430978,432,1635.961609
-539461,540,1645.964762
-525478,526,1655.982749
-540310,541,1665.99835
-440124,441,1679.784341
-519882,521,1689.787161
-537490,539,1699.802458
-534855,536,1709.813268
-451259,452,1723.942408
-520751,523,1733.697424
-308062,309,1739.570502
-999,1,1739.587667
-535088,536,1749.607766
-546441,547,1759.618638
-230771,231,1769.642044
-541809,543,1779.655236
-538469,539,1789.660302
-538468,539,1799.667154
-327673,328,1811.440486
-530988,532,1821.455124
-533779,535,1831.474391
-542847,544,1841.48728
-436202,437,1855.237947
-544037,546,1865.25443
-539036,540,1875.270238
-537301,539,1885.289737
-421963,423,1898.668865
-529700,531,1908.678218
-537037,538,1918.697162
-541812,543,1928.712932
-435110,436,1942.465078
-543190,544,1952.483391
-538271,539,1962.490299
-540190,541,1972.50633
-423487,424,1985.96333
-536696,538,1995.965936
-538722,540,2005.971917
-541735,543,2015.987096
-426420,427,2029.511194
-528748,530,2039.537071
-528274,529,2049.542508
-534199,535,2059.550436
-453541,454,2073.50686
-538311,539,2083.516275
-546453,547,2093.528149
-539768,541,2103.541296
-420030,421,2116.927951
-534465,535,2126.935017
-533219,534,2136.948845
-544991,546,2146.972532
-432111,433,2160.761585
-532394,534,2170.774056
-540852,542,2180.788912
-537817,539,2190.795811
-432570,433,2204.312588
-535389,536,2214.331439
-538466,539,2224.335381
-539231,540,2234.34647
-19980,20,2234.719561
-11897,12,2234.924387
-51793,52,2235.882216
-25922,26,2236.370901
-32918,33,2236.995121
-13986,14,2237.250162
-16981,17,2237.560969
-19961,20,2237.927192
-13981,14,2238.196036
-232747,233,2248.222544
-19975,20,2248.586521
-11933,12,2248.798658
-36962,37,2249.513605
-5989,6,2249.630436
-17982,18,2249.938406
-13986,14,2250.21124
-19980,20,2250.585933
-14985,15,2250.871849
-19977,20,2251.240594
-10959,11,2251.450873
-18981,19,2251.83724
-17982,18,2252.174007
-17982,18,2252.515567
-20976,21,2252.886323
-19922,20,2253.25777
-25949,26,2253.738112
-34965,35,2254.3599
-17982,18,2254.701893
-15984,16,2255.004102
-21978,22,2255.393328
-13986,14,2255.677451
-22961,23,2256.114862
-15731,16,2256.393396
-985,1,2256.412119
-20689,21,2256.824257
-33629,34,2257.459306
-29762,30,2258.01188
-32807,33,2258.654506
-42956,43,2259.463055
-531059,532,2269.481744
-542858,544,2279.49077
-361898,363,2291.830119
-540391,541,2301.838267
-538902,540,2311.849837
-536731,538,2321.860456
-427917,429,2335.622429
-512568,515,2345.146763
-540802,543,2355.152624
-542127,544,2365.165652
-444512,446,2378.907313
-542457,543,2388.925765
-545499,547,2398.932088
-546885,549,2408.945186
-406927,409,2422.109484
-544219,546,2432.137303
-542028,543,2442.141874
-541829,543,2452.145319
-414884,416,2465.521922
-543759,546,2475.535782
-541371,543,2485.54599
-542804,544,2495.565295
-414228,415,2508.828346
-539777,542,2518.850337
-544576,546,2528.866395
-544540,546,2538.869187
-413060,414,2551.96654
-535134,536,2561.978457
-537588,539,2571.985751
-540079,541,2581.992041
-431571,432,2595.751762
-537092,538,2605.759218
-534083,535,2615.761769
-531291,532,2625.766568
-442082,443,2639.531218
-540758,542,2649.546402
-540460,541,2659.554682
-542916,544,2669.565051
-420471,421,2682.853358
-536486,537,2692.856965
-542444,543,2702.876998
-542739,544,2712.882371
-423577,424,2726.423062
-537483,538,2736.442484
-537811,539,2746.458513
-528210,529,2756.461964
-441559,442,2770.403664
-533440,534,2780.417042
-544363,545,2790.421115
-534417,535,2800.446417
-433443,434,2814.252229
-530955,532,2824.259792
-543458,544,2834.266009
-546220,547,2844.285023
-424423,425,2858.010856
-537050,538,2868.025115
-539847,541,2878.031849
-538916,540,2888.037998
-428568,429,2901.749964
-540154,542,2911.758741
-539862,542,2921.761943
-549290,551,2931.778845
-412555,413,2944.989911
-548963,551,2955.000143
-547098,548,2965.009801
-551448,552,2975.026298
-396605,397,2987.828395
-546476,547,2997.8441
-539191,540,3007.855672
-539311,540,3017.874665
-420482,421,3031.260074
-530948,532,3041.262357
-539133,540,3051.271144
-540812,542,3061.286865
-433073,434,3074.83587
-540460,541,3084.854718
-534806,536,3094.857974
-536776,538,3104.871841
-431973,433,3118.537233
-524976,526,3128.556358
-541618,543,3138.561211
-541406,542,3148.58218
-436020,437,3162.353573
-522605,524,3172.357409
-540420,541,3182.360985
-541165,542,3192.371202
-439689,441,3206.253973
-536369,537,3216.258655
-538770,540,3226.278273
-541403,542,3236.299276
-428572,429,3249.781352
-538485,539,3259.801636
-539274,540,3269.820358
-544986,546,3279.836696
-422423,423,3293.509695
-534752,536,3303.512941
-543256,544,3313.545774
-539460,540,3323.558924
-427585,428,3337.073014
-549001,550,3347.084115
-537691,539,3357.096387
-541381,543,3367.108458
-414932,416,3380.520596
-540020,541,3390.532612
-533663,535,3400.536608
-532898,534,3410.540217
-437557,438,3424.1355
-544097,545,3434.149282
-538408,540,3444.162495
-540305,542,3454.178715
-420104,421,3467.503568
-547141,549,3477.506798
-544660,547,3487.522277
-543275,545,3497.536158
-406363,407,3510.769684
-537050,539,3520.781722
-540040,541,3530.795443
-533481,535,3540.80461
-432005,433,3554.580591
-538074,539,3564.595333
-532469,533,3574.604665
-541458,542,3584.624077
-433561,434,3598.32374
-534217,535,3608.338139
-547453,548,3618.351341
-529470,530,3628.375024
-434568,435,3642.027937
-524209,525,3652.036305
-535465,536,3662.060338
-543456,544,3672.062592
-442256,443,3685.96018
-530145,531,3695.970268
-533479,534,3705.979402
-543422,544,3715.985607
-438389,439,3729.86558
-540543,542,3739.877924
-534934,536,3749.890332
-544436,545,3759.914001
-424370,425,3773.403539
-533474,534,3783.411528
-539460,540,3793.41599
-546286,547,3803.435612
-426572,427,3816.988432
-540721,542,3826.991203
-541462,542,3837.010463
-537464,538,3847.013274
-425575,426,3860.338754
-541461,542,3870.355956
-545375,546,3880.375614
-540908,542,3890.38638
-416956,418,3903.738075
-525475,526,3913.752992
-538465,539,3923.766479
-537463,538,3933.781046
-444550,445,3947.594164
-540584,542,3957.610332
-545800,547,3967.620127
-541458,542,3977.642629
-416135,417,3991.17309
-522136,523,4001.182088
-533467,534,4011.192033
-542880,544,4021.197057
-446548,447,4035.015198
-535841,537,4045.027252
-529196,530,4055.043983
-538465,539,4065.054492
-441352,442,4079.057035
-531998,533,4089.076823
-528434,529,4099.092388
-541063,542,4109.110205
-443554,444,4123.178282
-538776,540,4133.193576
-536078,537,4143.197436
-535048,536,4153.20436
-433535,435,4166.958326
-534254,535,4176.970565
-533442,534,4186.974565
-534328,535,4196.983275
-443242,444,4210.821417
-520215,521,4220.83636
-533374,534,4230.845078
-540241,541,4240.848562
-451468,452,4254.990333
-541751,543,4264.994472
-545396,546,4275.010288
-537415,538,4285.038392
